Time (EET),Open,High,Low,Close,Volume 
2026.04.30 02:15:00,0.86634,0.86641,0.86632,0.86637,114.9
2026.04.30 02:30:00,0.86637,0.86648,0.86635,0.8664,295.52
2026.04.30 02:45:00,0.8664,0.86644,0.86629,0.86631,214.71
2026.04.30 03:00:00,0.86632,0.86633,0.86616,0.86623,1649.7
2026.04.30 03:15:00,0.86622,0.86628,0.86611,0.86625,930.37
2026.04.30 03:30:00,0.86624,0.86635,0.86616,0.86628,1161.81
2026.04.30 03:45:00,0.86628,0.86628,0.86607,0.86616,1044.2
2026.04.30 04:00:00,0.86616,0.86632,0.86613,0.86632,1389.18
2026.04.30 04:15:00,0.86632,0.86634,0.8662,0.86623,515.39
2026.04.30 04:30:00,0.86624,0.86631,0.86606,0.86616,1275.73
2026.04.30 04:45:00,0.86615,0.86615,0.86594,0.86599,1067.81
2026.04.30 05:00:00,0.86598,0.866,0.86587,0.86593,969.58
2026.04.30 05:15:00,0.86593,0.86602,0.86587,0.86591,611.22
2026.04.30 05:30:00,0.86591,0.86597,0.86578,0.86593,1571.07
2026.04.30 05:45:00,0.86593,0.86599,0.86584,0.86587,969.3
2026.04.30 06:00:00,0.86585,0.86594,0.86585,0.86591,939.74
2026.04.30 06:15:00,0.86591,0.86599,0.86589,0.86594,782.13
2026.04.30 06:30:00,0.86596,0.86596,0.86576,0.86578,681.2
2026.04.30 06:45:00,0.86578,0.86582,0.86569,0.86575,657.59
2026.04.30 07:00:00,0.86573,0.86585,0.86571,0.86577,1302.98
2026.04.30 07:15:00,0.86576,0.86604,0.86574,0.866,1029.36
2026.04.30 07:30:00,0.866,0.86633,0.86599,0.86619,1247.59
2026.04.30 07:45:00,0.86617,0.86627,0.86613,0.86626,658.45
2026.04.30 08:00:00,0.86626,0.86627,0.86607,0.86616,809.1
2026.04.30 08:15:00,0.86617,0.86628,0.86614,0.86616,620.74
2026.04.30 08:30:00,0.86617,0.86631,0.86603,0.86621,909.81
2026.04.30 08:45:00,0.8662,0.8663,0.86617,0.8663,1512.89
2026.04.30 09:00:00,0.86632,0.86657,0.86629,0.86646,1437.66
2026.04.30 09:15:00,0.86646,0.8665,0.86618,0.86623,1703.1
2026.04.30 09:30:00,0.86625,0.86627,0.86584,0.86591,1648.65
2026.04.30 09:45:00,0.86593,0.86622,0.86578,0.86622,1858.5
2026.04.30 10:00:00,0.86621,0.86627,0.86588,0.86613,2682.12
2026.04.30 10:15:00,0.86612,0.86618,0.86591,0.86605,1722.65
2026.04.30 10:30:00,0.86604,0.86615,0.86582,0.86589,1398.4
2026.04.30 10:45:00,0.86588,0.86608,0.86578,0.86608,2304.34
2026.04.30 11:00:00,0.86609,0.8666,0.86591,0.8664,3564.85
2026.04.30 11:15:00,0.86641,0.86655,0.86611,0.86613,1798.86
2026.04.30 11:30:00,0.86613,0.86634,0.86602,0.86626,2331.09
2026.04.30 11:45:00,0.86625,0.86625,0.86582,0.86619,2181.45
2026.04.30 12:00:00,0.8662,0.86627,0.86578,0.86578,2608.01
2026.04.30 12:15:00,0.86579,0.86629,0.86575,0.86612,2630.87
2026.04.30 12:30:00,0.86612,0.86627,0.86595,0.86613,3901.25
2026.04.30 12:45:00,0.86611,0.86622,0.86606,0.86611,2158.52
2026.04.30 13:00:00,0.86611,0.86641,0.86607,0.86636,2008.86
2026.04.30 13:15:00,0.86637,0.86647,0.86612,0.86635,2051.76
2026.04.30 13:30:00,0.86634,0.86654,0.86603,0.86626,4723.89
2026.04.30 13:45:00,0.86624,0.86625,0.86573,0.86599,4071.98
2026.04.30 14:00:00,0.86598,0.86666,0.86585,0.86595,4241.27
2026.04.30 14:15:00,0.86596,0.86616,0.86582,0.86585,3422.95
2026.04.30 14:30:00,0.86588,0.86615,0.86575,0.86614,2843.01
2026.04.30 14:45:00,0.86614,0.86641,0.86587,0.86598,3204.91
2026.04.30 15:00:00,0.86597,0.86656,0.86582,0.86651,2612.6
2026.04.30 15:15:00,0.86654,0.86655,0.86587,0.86596,3719.65
2026.04.30 15:30:00,0.86596,0.86614,0.86567,0.86572,3231.31
2026.04.30 15:45:00,0.86572,0.86592,0.86503,0.86532,2706.49
2026.04.30 16:00:00,0.86534,0.86577,0.86506,0.86545,3386.67
2026.04.30 16:15:00,0.86547,0.86547,0.86502,0.86519,2144.34
2026.04.30 16:30:00,0.86518,0.86537,0.86499,0.86524,2523.05
2026.04.30 16:45:00,0.86524,0.86545,0.86495,0.86499,2807.63
2026.04.30 17:00:00,0.86495,0.86506,0.86403,0.86424,3561.45
2026.04.30 17:15:00,0.86424,0.86432,0.86385,0.86387,2741.67
2026.04.30 17:30:00,0.86386,0.86475,0.86378,0.86474,3590.91
2026.04.30 17:45:00,0.86476,0.86483,0.86324,0.86346,5067.15
2026.04.30 18:00:00,0.86347,0.86387,0.86306,0.86385,4416.76
2026.04.30 18:15:00,0.86384,0.86401,0.8636,0.86361,3531.88
2026.04.30 18:30:00,0.8636,0.86392,0.86333,0.86389,2685.52
2026.04.30 18:45:00,0.86389,0.86395,0.86363,0.86379,2570.37
2026.04.30 19:00:00,0.86379,0.86392,0.86365,0.86387,1823.78
2026.04.30 19:15:00,0.86387,0.86394,0.86356,0.86356,1831.35
2026.04.30 19:30:00,0.86357,0.86372,0.86346,0.86361,1396.11
2026.04.30 19:45:00,0.86361,0.86376,0.86357,0.86362,1066.41
2026.04.30 20:00:00,0.8636,0.8637,0.86349,0.86355,1684.59
2026.04.30 20:15:00,0.86355,0.86366,0.86345,0.86354,1222.05
2026.04.30 20:30:00,0.86354,0.86364,0.86352,0.86362,1480.31
2026.04.30 20:45:00,0.86362,0.86363,0.8633,0.86336,732
2026.04.30 21:00:00,0.86336,0.8634,0.86305,0.86305,1355.45
2026.04.30 21:15:00,0.86305,0.86315,0.8629,0.86309,782.34
2026.04.30 21:30:00,0.8631,0.86315,0.86295,0.86306,793.87
2026.04.30 21:45:00,0.86304,0.86311,0.8628,0.8629,810.07
2026.04.30 22:00:00,0.86289,0.86295,0.86253,0.8626,1190.64
2026.04.30 22:15:00,0.86261,0.86269,0.86251,0.86257,525.95
2026.04.30 22:30:00,0.86256,0.86263,0.86248,0.86255,788.7
2026.04.30 22:45:00,0.86254,0.86261,0.86247,0.86254,1012.41
2026.04.30 23:00:00,0.86255,0.8626,0.8623,0.8623,1251.13
2026.04.30 23:15:00,0.86231,0.86248,0.8623,0.86237,688.79
2026.04.30 23:30:00,0.86237,0.86251,0.86233,0.86242,626.95
2026.04.30 23:45:00,0.86242,0.86266,0.86237,0.86266,1002.51
2026.05.01 00:00:00,0.86283,0.86304,0.8625,0.8625,140.7
2026.05.01 00:15:00,0.86251,0.86294,0.86251,0.86283,147.6
2026.05.01 00:30:00,0.86282,0.86285,0.86264,0.86264,292.24
2026.05.01 00:45:00,0.86266,0.86296,0.8626,0.86276,646.7
2026.05.01 01:00:00,0.86278,0.86278,0.86233,0.86235,247.24
2026.05.01 01:15:00,0.86235,0.86239,0.86235,0.86235,228.42
2026.05.01 01:30:00,0.86236,0.86242,0.86235,0.8624,269.43
2026.05.01 01:45:00,0.86241,0.86244,0.8624,0.86243,320.09
2026.05.01 02:00:00,0.86243,0.86244,0.86237,0.86238,287.93
2026.05.01 02:15:00,0.86239,0.8624,0.86237,0.86238,103.2
2026.05.01 02:30:00,0.86238,0.8624,0.86232,0.86235,153.6
2026.05.01 02:45:00,0.86234,0.86236,0.86223,0.86236,369.06
2026.05.01 03:00:00,0.86236,0.86237,0.86219,0.86223,741.97
2026.05.01 03:15:00,0.86223,0.86233,0.86212,0.86233,500.4
2026.05.01 03:30:00,0.86234,0.86234,0.86213,0.8623,1120.56
2026.05.01 03:45:00,0.86228,0.86234,0.86211,0.86217,847.95
2026.05.01 04:00:00,0.86217,0.86228,0.86215,0.86223,679.7
2026.05.01 04:15:00,0.86222,0.86232,0.86221,0.86231,530.37
2026.05.01 04:30:00,0.86232,0.86242,0.8623,0.86237,842.73
2026.05.01 04:45:00,0.86236,0.86242,0.86223,0.86225,498.97
2026.05.01 05:00:00,0.86226,0.86234,0.86225,0.86233,1107.19
2026.05.01 05:15:00,0.86233,0.86233,0.86223,0.86232,515.44
2026.05.01 05:30:00,0.86233,0.86249,0.86227,0.86245,415.15
2026.05.01 05:45:00,0.86246,0.8626,0.86241,0.86245,409.56
2026.05.01 06:00:00,0.86243,0.86248,0.86233,0.86235,414.22
2026.05.01 06:15:00,0.86236,0.86241,0.86226,0.86231,292.35
2026.05.01 06:30:00,0.8623,0.86253,0.86227,0.86251,643.55
2026.05.01 06:45:00,0.86252,0.86261,0.86245,0.86251,459.14
2026.05.01 07:00:00,0.8625,0.86253,0.86243,0.8625,573.6
2026.05.01 07:15:00,0.8625,0.86259,0.86246,0.86259,848.5
2026.05.01 07:30:00,0.86259,0.86259,0.86247,0.86254,402.39
2026.05.01 07:45:00,0.86253,0.86257,0.86248,0.86252,507.79
2026.05.01 08:00:00,0.86252,0.8626,0.86247,0.86258,630.44
2026.05.01 08:15:00,0.86257,0.86269,0.86254,0.86263,765.17
