Time (EET),Open,High,Low,Close,Volume 
2025.04.29 09:30:00,0.84944,0.8496,0.84918,0.84922,1135.92
2025.04.29 09:45:00,0.84923,0.84938,0.84898,0.84928,1408.11
2025.04.29 10:00:00,0.84935,0.84967,0.84911,0.84958,2073.82
2025.04.29 10:15:00,0.84959,0.85004,0.84934,0.84998,1435.2
2025.04.29 10:30:00,0.84997,0.85053,0.84994,0.85038,1698.69
2025.04.29 10:45:00,0.85036,0.8505,0.8495,0.84957,1820.73
2025.04.29 11:00:00,0.8496,0.84975,0.84874,0.84923,2061.48
2025.04.29 11:15:00,0.84923,0.84933,0.84874,0.84888,1439.64
2025.04.29 11:30:00,0.84885,0.84939,0.84873,0.84905,1363.14
2025.04.29 11:45:00,0.84904,0.84923,0.84867,0.84891,1471.44
2025.04.29 12:00:00,0.84892,0.84966,0.84889,0.84939,1650.39
2025.04.29 12:15:00,0.8494,0.84979,0.8491,0.84977,1062.14
2025.04.29 12:30:00,0.84979,0.84979,0.84921,0.8494,1070.07
2025.04.29 12:45:00,0.84939,0.84981,0.8493,0.84957,1505.97
2025.04.29 13:00:00,0.84956,0.84981,0.84948,0.8498,1098.03
2025.04.29 13:15:00,0.84981,0.85003,0.84976,0.84989,1152.93
2025.04.29 13:30:00,0.84989,0.85017,0.84984,0.85002,874.29
2025.04.29 13:45:00,0.85002,0.85015,0.84979,0.85015,1361.01
2025.04.29 14:00:00,0.85014,0.85031,0.84993,0.85014,1502.28
2025.04.29 14:15:00,0.85016,0.8503,0.84999,0.85017,793.26
2025.04.29 14:30:00,0.85015,0.85025,0.8499,0.85019,956.4
2025.04.29 14:45:00,0.85022,0.85025,0.84965,0.84984,1064.34
2025.04.29 15:00:00,0.84983,0.84989,0.84953,0.84958,1077.72
2025.04.29 15:15:00,0.84961,0.85016,0.84931,0.85007,1664.64
2025.04.29 15:30:00,0.85008,0.85057,0.84996,0.85054,1772.58
2025.04.29 15:45:00,0.85052,0.85108,0.85015,0.8509,3013.71
2025.04.29 16:00:00,0.85092,0.85101,0.85053,0.85088,2775.75
2025.04.29 16:15:00,0.85086,0.85116,0.85041,0.85044,2033.61
2025.04.29 16:30:00,0.85046,0.85076,0.84998,0.8501,2046.99
2025.04.29 16:45:00,0.85011,0.85024,0.84956,0.84997,2645.37
2025.04.29 17:00:00,0.84998,0.85074,0.84959,0.84963,3729.39
2025.04.29 17:15:00,0.84962,0.85072,0.84949,0.85049,2468.97
2025.04.29 17:30:00,0.85049,0.8509,0.85019,0.85024,2248.68
2025.04.29 17:45:00,0.85024,0.85031,0.84959,0.85014,3218.82
2025.04.29 18:00:00,0.85015,0.85072,0.85007,0.85059,2248.38
2025.04.29 18:15:00,0.85058,0.85093,0.85038,0.85046,1672.65
2025.04.29 18:30:00,0.85046,0.85066,0.85002,0.8504,1375.68
2025.04.29 18:45:00,0.8504,0.85096,0.8503,0.85064,1379.67
2025.04.29 19:00:00,0.85063,0.85082,0.85023,0.85043,1351.35
2025.04.29 19:15:00,0.85043,0.85095,0.85028,0.85074,1391.2
2025.04.29 19:30:00,0.85077,0.85093,0.85046,0.85048,1403.34
2025.04.29 19:45:00,0.85049,0.85056,0.85027,0.85052,1250.64
2025.04.29 20:00:00,0.85052,0.8506,0.84996,0.85011,1165.98
2025.04.29 20:15:00,0.85012,0.85021,0.8499,0.85018,797.55
2025.04.29 20:30:00,0.85018,0.8503,0.85003,0.85016,735.75
2025.04.29 20:45:00,0.85015,0.85024,0.84964,0.84978,917.67
2025.04.29 21:00:00,0.84977,0.84993,0.84939,0.84962,1108.3
2025.04.29 21:15:00,0.84963,0.84963,0.84928,0.84934,750.27
2025.04.29 21:30:00,0.84933,0.84949,0.84929,0.84935,673.62
2025.04.29 21:45:00,0.84937,0.84943,0.84922,0.84929,662.97
2025.04.29 22:00:00,0.84929,0.84936,0.84908,0.84908,706.87
2025.04.29 22:15:00,0.84907,0.84949,0.84907,0.84933,453.15
2025.04.29 22:30:00,0.84933,0.84942,0.84923,0.84926,507.45
2025.04.29 22:45:00,0.84925,0.84931,0.84907,0.84914,700.32
2025.04.29 23:00:00,0.84913,0.84936,0.84908,0.84933,387.15
2025.04.29 23:15:00,0.84934,0.84944,0.84924,0.84938,329.34
2025.04.29 23:30:00,0.84938,0.84947,0.84934,0.8494,259.5
2025.04.29 23:45:00,0.84941,0.84953,0.84901,0.84904,1070.52
2025.04.30 00:00:00,0.84939,0.84939,0.84879,0.84919,69.3
2025.04.30 00:15:00,0.84919,0.84952,0.8488,0.84903,168.27
2025.04.30 00:30:00,0.84906,0.84925,0.84886,0.8492,486.09
2025.04.30 00:45:00,0.8492,0.84929,0.84884,0.84902,222.27
2025.04.30 01:00:00,0.84898,0.84963,0.84888,0.84946,544.75
2025.04.30 01:15:00,0.84949,0.84973,0.84943,0.84964,303.3
2025.04.30 01:30:00,0.84965,0.84968,0.84936,0.84936,327.99
2025.04.30 01:45:00,0.84937,0.84963,0.84937,0.84952,425.91
2025.04.30 02:00:00,0.84953,0.84955,0.84937,0.8495,184.65
2025.04.30 02:15:00,0.84949,0.84951,0.84924,0.84926,225.3
2025.04.30 02:30:00,0.84924,0.84946,0.84924,0.84939,294.45
2025.04.30 02:45:00,0.8494,0.8494,0.84913,0.84929,559.5
2025.04.30 03:00:00,0.84929,0.84973,0.84929,0.84964,985.38
2025.04.30 03:15:00,0.84966,0.84976,0.84941,0.84946,556.89
2025.04.30 03:30:00,0.84947,0.84951,0.84929,0.84936,762.69
2025.04.30 03:45:00,0.84941,0.84941,0.84905,0.84932,1087.92
2025.04.30 04:00:00,0.84932,0.84935,0.8491,0.84926,973.41
2025.04.30 04:15:00,0.84925,0.84939,0.84902,0.84917,829.89
2025.04.30 04:30:00,0.84918,0.84926,0.84894,0.84896,1447.35
2025.04.30 04:45:00,0.84895,0.84896,0.84817,0.84823,1939.44
2025.04.30 05:00:00,0.84825,0.84855,0.84817,0.84854,1492.95
2025.04.30 05:15:00,0.84853,0.8488,0.84851,0.8488,856.77
2025.04.30 05:30:00,0.8488,0.84906,0.84878,0.84887,758.22
2025.04.30 05:45:00,0.84888,0.84924,0.84884,0.84918,723.27
2025.04.30 06:00:00,0.84917,0.84939,0.84915,0.8493,589.35
2025.04.30 06:15:00,0.8493,0.8496,0.84927,0.84959,594.15
2025.04.30 06:30:00,0.84961,0.84963,0.84927,0.84937,984.69
2025.04.30 06:45:00,0.84937,0.84943,0.84922,0.84941,963.42
2025.04.30 07:00:00,0.84942,0.84957,0.84934,0.84946,817.65
2025.04.30 07:15:00,0.84945,0.84958,0.84933,0.8494,996
2025.04.30 07:30:00,0.84939,0.84945,0.84921,0.84935,853.95
2025.04.30 07:45:00,0.84934,0.84949,0.84931,0.84935,767.7
